hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,id,booking_difficulty_score,total_nights,total_guests,adr_per_person,cancellation_ratio_prev_bookings,is_direct_booking
City Hotel,1,169.2659919686024,2017,March,2017,23,0.7216990725393451,1.8485628928915927,2,0.0,0,SC,UNAVAILABLE,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,-5.421894648313213,Transient,102.99156161812463,0,2,65077,1.5103224730343934,2.5702619654309378,2.0,51.49578080906232,0.0,0
City Hotel,0,106.52493249853804,2017,August,2017,19,-0.0977016104206508,1.0453536455522516,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,5.59936792719867,Transient,229.4932556709189,0,1,62714,4.345359247775434,0.9476520351316008,2.0,114.74662783545945,0.0,0
City Hotel,1,28.803646059290926,2017,October,2016,12,0.1567275864902051,1.9791356948816048,2,0.0,0,BB,UNAVAILABLE,MISSING,TA/TO,0,0,0,A,0,Non Refund,98.0,0.0,-12.330880472735174,Transient,91.59549451320716,0,0,58413,-1.337930672050974,2.13586328137181,2.0,45.79774725660358,0.0,0
Resort Hotel,0,219.1574240594205,2017,February,2016,13,1.1000425229776492,0.167082453122766,2,0.0,0,FB,ESP,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,6.0,0.0,-7.772809896986941,Transient,87.95219978067561,0,1,21015,0.0748481179249683,1.267124976100415,2.0,43.97609989033781,0.0,0
City Hotel,1,54.10185343401051,2017,October,2016,28,0.5612618816417387,2.923438852623293,2,0.0,0,BB,UNKNOWN,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,-5.166144457482791,Transient,58.13402239387158,0,0,59492,-0.0517041050798187,3.4847007342650316,2.0,29.06701119693579,0.0,0
City Hotel,1,221.120077752454,2017,December,2016,1,-0.512280720794159,0.4746811552129787,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,-2.3821348976873606,Transient,100.898417787708,0,0,61061,1.2433516097953357,-0.03759956558118027,2.0,50.449208893854,0.0,0
City Hotel,0,106.52493249853804,2017,November,2015,18,0.1448564127739235,3.3844989170045148,2,0.0,0,UNKNOWN,UNAVAILABLE,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,28.0,0.0,3.614572700739344,Transient,37.77648078089036,0,0,80664,0.3588086738231987,3.529355329778438,2.0,18.88824039044518,0.0,0
Resort Hotel,0,81.06722920158585,2017,March,2016,21,1.3177448349725651,1.2777815111028887,2,0.0,0,UNAVAILABLE,ESP,Online TA,TA/TO,0,0,0,F,0,No Deposit,241.0,0.0,5.243306090071421,Transient,179.02081730288722,0,1,22421,2.928902129060229,2.595526346075454,2.0,89.51040865144361,0.0,0
City Hotel,1,106.52493249853804,2017,December,2016,26,1.2624462061008446,-1.0984363971218425,2,0.0,0,SC,ESP,Online TA,MISSING,0,0,0,A,0,No Deposit,9.0,0.0,-11.030014003308812,Transient,58.11080749314934,0,0,61788,0.7270727520022913,0.16400980897900208,2.0,29.05540374657467,0.0,0
Resort Hotel,1,12.054776077423078,2017,July,2017,6,1.8076630364786963,0.7075860052158831,2,0.0,0,MISSING,UNAVAILABLE,Online TA,TA/TO,0,0,0,D,0,No Deposit,240.0,0.0,7.064100869698771,Transient,113.30471829847184,0,0,12592,0.2370479423148612,2.515249041694579,2.0,56.65235914923592,0.0,0
City Hotel,1,144.02005371753836,2017,August,2017,1,0.5494315375712335,2.162267985200528,2,0.0,0,HB,RUS,Online TA,MISSING,0,0,0,D,0,No Deposit,9.0,0.0,11.25181038741782,Transient,75.66834070644924,0,3,62068,2.9523909948352776,2.7116995227717617,2.0,37.83417035322462,0.0,0
City Hotel,0,100.32822085279857,2017,October,2016,23,2.2335420414508635,2.3946141887437875,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,6.0,0.0,3.6836877927304776,Transient-Party,33.35183296626312,0,1,100223,0.4238894428441326,4.6281562301946515,2.0,16.67591648313156,0.0,0
City Hotel,0,24.442912949890065,2017,September,2016,27,-0.2977873890135716,6.864332581042078,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,0,No Deposit,7.0,0.0,8.593977232419647,Transient,89.38466184904064,0,3,98392,0.8297337059049238,6.5665451920285065,2.0,44.69233092452032,0.0,0
Resort Hotel,1,264.98941826449266,2017,May,2017,29,2.349344347549156,1.2427940943897533,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,0,No Deposit,240.0,0.0,-26.08826493924206,Transient,83.91009572275301,0,1,37060,-2.835756396538988,3.5921384419389093,2.0,41.95504786137651,0.0,0
City Hotel,0,96.35343831910411,2017,August,2015,12,-0.6446853834511902,1.0415082490431142,2,0.0,0,BB,PRT,UNAVAILABLE,TA/TO,0,0,0,B,0,No Deposit,8.0,0.0,-14.383550640812352,Transient-Party,239.70599963631452,0,1,41078,0.0005871586631116,0.39682286559192403,2.0,119.85299981815726,0.0,0
