hotel,is_canceled,lead_time,arrival_date_week,arrival_date_month,arrival_date_year,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,id,booking_difficulty_score,total_bookings,arrival_date,kids,is_single,group_size,total_nights,long_stay
City Hotel,0,83,11,3,2017,15,0.0,2.0023089211899467,2,0,0,PRT,COMPLEMENTARY,DIRECT,1,0,1,G,0,No Deposit,9.0,40.0,0.0,Transient,92.67,0,2,97750,1.9249909312766214,1,2017-3-15,0,0,2,2.0023089211899467,0
City Hotel,0,25,44,10,2016,23,1.820523451177767,1.2897795149141402,1,0,0,DEU,OFFLINE TA/TO,TA/TO,0,0,0,A,1,No Deposit,6.0,40.0,10.463500461960924,Transient-Party,109.22,0,1,100248,3.8591972791780274,0,2016-10-23,0,1,1,3.1103029660919073,0
City Hotel,1,169,12,3,2017,23,0.7216990725393451,1.8485628928915927,2,0,0,UNAVAILABLE,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,0.0,Transient,102.99,0,2,65077,1.5103224730343934,0,2017-3-23,0,0,2,2.5702619654309378,0
City Hotel,0,101,3,1,2017,19,0.0,1.0453536455522516,2,0,0,NLD,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,5.59936792719867,Transient,229.49,0,1,62714,4.345359247775434,0,2017-1-19,0,0,2,1.0453536455522516,0
Resort Hotel,1,101,26,6,2017,25,2.035774163450826,0.1043713643093298,2,1,0,PRT,DIRECT,DIRECT,0,0,0,F,1,No Deposit,9.0,40.0,0.0,Transient-Party,88.82,0,0,12349,1.9249909312766214,0,2017-6-25,1,0,3,2.140145527760156,0
Resort Hotel,0,101,32,8,2017,6,2.315115479881808,1.2873407029346295,2,0,0,ESP,DIRECT,DIRECT,0,0,0,A,0,No Deposit,250.0,40.0,5.04150282454038,Transient,109.75,1,1,39263,3.2217939380331946,0,2017-8-6,0,0,2,3.6024561828164376,0
City Hotel,1,29,42,10,2016,12,0.1567275864902051,1.9791356948816048,2,0,0,UNAVAILABLE,ONLINE TA,TA/TO,0,0,0,A,0,Non Refund,98.0,40.0,0.0,Transient,91.6,0,0,58413,1.9249909312766214,0,2016-10-12,0,0,2,2.13586328137181,0
City Hotel,0,103,41,10,2016,7,2.09159854410891,3.5586559448331743,2,0,0,USA,ONLINE TA,TA/TO,0,0,0,A,1,No Deposit,7.0,40.0,1.4968431975772314,Transient,29.6,0,1,99230,1.9249909312766214,0,2016-10-7,0,0,2,5.6502544889420845,0
Resort Hotel,0,101,38,9,2015,13,2.180786534018066,4.5653604138305575,2,0,0,PRT,DIRECT,DIRECT,0,0,0,C,0,No Deposit,250.0,40.0,0.0,Transient,95.1,1,0,1766,1.661774358032441,0,2015-9-13,0,0,2,6.746146947848624,0
City Hotel,0,291,26,6,2016,22,0.3663996868116274,3.223791196893724,1,0,0,SRB,OFFLINE TA/TO,TA/TO,0,0,0,A,1,No Deposit,34.0,40.0,0.6030212818984548,Transient-Party,61.89,0,0,91923,0.6907431443934722,0,2016-6-22,0,1,1,3.5901908837053513,0
City Hotel,0,260,49,12,2016,1,0.0,2.8377001635079258,2,0,0,BRA,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,22.199558841755493,Transient,285.84,0,2,102583,4.741980420121183,0,2016-12-1,0,0,2,2.8377001635079258,0
Resort Hotel,0,219,7,2,2016,13,1.1000425229776492,0.167082453122766,2,0,0,ESP,OFFLINE TA/TO,TA/TO,0,0,0,A,0,No Deposit,6.0,40.0,0.0,Transient,87.95,0,1,21015,0.0748481179249683,0,2016-2-13,0,0,2,1.267124976100415,0
City Hotel,1,54,44,10,2016,28,0.5612618816417387,2.923438852623293,2,0,0,UNKNOWN,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,9.0,40.0,0.0,Transient,58.13,0,0,59492,1.9249909312766214,0,2016-10-28,0,0,2,3.4847007342650316,0
City Hotel,1,90,25,6,2016,12,1.568684484967527,6.913364458960265,1,0,0,RUS,ONLINE TA,TA/TO,0,0,0,A,2,No Deposit,9.0,40.0,19.38010769857955,Transient,68.56,0,0,52833,2.419744098745372,0,2016-6-12,0,1,1,8.482048943927792,1
City Hotel,1,221,49,12,2016,1,0.0,0.4746811552129787,2,0,0,GBR,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,0.0,Transient,100.9,0,0,61061,1.2433516097953357,0,2016-12-1,0,0,2,0.4746811552129787,0
Resort Hotel,0,101,33,8,2015,11,0.0,4.618148060402661,2,0,0,PRT,OFFLINE TA/TO,TA/TO,0,0,0,A,0,No Deposit,134.0,40.0,8.945545795702575,Transient,218.01,0,1,16104,3.8209506447234993,0,2015-8-11,0,0,2,4.618148060402661,0
City Hotel,0,101,47,11,2015,18,0.1448564127739235,3.3844989170045148,2,0,0,UNAVAILABLE,OFFLINE TA/TO,TA/TO,0,0,0,D,0,No Deposit,28.0,40.0,3.614572700739344,Transient,37.78,0,0,80664,0.3588086738231987,0,2015-11-18,0,0,2,3.529355329778438,0
Resort Hotel,0,81,13,3,2016,21,1.3177448349725651,1.2777815111028887,2,0,0,ESP,ONLINE TA,TA/TO,0,0,0,F,0,No Deposit,241.0,40.0,5.243306090071421,Transient,179.02,0,1,22421,2.928902129060229,0,2016-3-21,0,0,2,2.595526346075454,0
City Hotel,1,101,53,12,2016,26,1.2624462061008446,0.0,2,0,0,ESP,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,0.0,Transient,58.11,0,0,61788,0.7270727520022913,0,2016-12-26,0,0,2,1.2624462061008446,0
